level1,level2,level3,level4,level1_description,level2_description,level3_description,level4_description
N,N03,N03A,N03AC,NERVOUS SYSTEM,ANTIEPILEPTICS,ANTIEPILEPTICS,Oxazolidine derivatives
N,N05,N05C,N05CE,NERVOUS SYSTEM,PSYCHOLEPTICS,HYPNOTICS AND SEDATIVES,Piperidinedione derivatives
J,J07,J07C,J07CA,ANTIINFECTIVES FOR SYSTEMIC USE,VACCINES,"BACTERIAL AND VIRAL VACCINES, COMBINED","Bacterial and viral vaccines, combined"
D,D01,D01B,D01BA,DERMATOLOGICALS,ANTIFUNGALS FOR DERMATOLOGICAL USE,ANTIFUNGALS FOR SYSTEMIC USE,Antifungals for systemic use
D,D06,D06B,D06BB,DERMATOLOGICALS,ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE,CHEMOTHERAPEUTICS FOR TOPICAL USE,Antivirals
M,M05,M05B,M05BA,MUSCULO-SKELETAL SYSTEM,DRUGS FOR TREATMENT OF BONE DISEASES,DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION,Bisphosphonates
A,A03,A03A,A03AD,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,Papaverine and derivatives
C,C04,C04A,C04AF,CARDIOVASCULAR SYSTEM,PERIPHERAL VASODILATORS,PERIPHERAL VASODILATORS,Enzymes
A,A03,A03C,A03CB,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,ANTISPASMODICS IN COMBINATION WITH PSYCHOLEPTICS,Belladonna and derivatives in combination with psycholeptics
D,D06,D06A,D06AX,DERMATOLOGICALS,ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE,ANTIBIOTICS FOR TOPICAL USE,Other antibiotics for topical use
C,C01,C01B,C01BB,CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,"ANTIARRHYTHMICS, CLASS I AND III","Antiarrhythmics, class Ib"
J,J01,J01D,J01DH,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,OTHER BETA-LACTAM ANTIBACTERIALS,Carbapenems
V,V10,V10A,V10AA,VARIOUS,THERAPEUTIC RADIOPHARMACEUTICALS,ANTIINFLAMMATORY AGENTS,Yttrium (90Y) compounds
N,N06,N06C,N06CA,NERVOUS SYSTEM,PSYCHOANALEPTICS,PSYCHOLEPTICS AND PSYCHOANALEPTICS IN COMBINATION,Antidepressants in combination with psycholeptics
C,C05,C05B,C05BB,CARDIOVASCULAR SYSTEM,VASOPROTECTIVES,ANTIVARICOSE THERAPY,Sclerosing agents for local injection
D,D08,D08A,D08AC,DERMATOLOGICALS,ANTISEPTICS AND DISINFECTANTS,ANTISEPTICS AND DISINFECTANTS,Biguanides and amidines
N,N07,N07C,N07CA,NERVOUS SYSTEM,OTHER NERVOUS SYSTEM DRUGS,ANTIVERTIGO PREPARATIONS,Antivertigo preparations
V,V09,V09I,V09IX,VARIOUS,DIAGNOSTIC RADIOPHARMACEUTICALS,TUMOUR DETECTION,Other diagnostic radiopharmaceuticals for tumour detection
C,C04,C04A,C04AD,CARDIOVASCULAR SYSTEM,PERIPHERAL VASODILATORS,PERIPHERAL VASODILATORS,Purine derivatives
N,N07,N07A,N07AX,NERVOUS SYSTEM,OTHER NERVOUS SYSTEM DRUGS,PARASYMPATHOMIMETICS,Other parasympathomimetics
S,S02,S02D,S02DA,SENSORY ORGANS,OTOLOGICALS,OTHER OTOLOGICALS,Analgesics and anesthetics
B,B01,B01A,B01AB,BLOOD AND BLOOD FORMING ORGANS,ANTITHROMBOTIC AGENTS,ANTITHROMBOTIC AGENTS,Heparin group
C,C03,C03C,C03CD,CARDIOVASCULAR SYSTEM,DIURETICS,HIGH-CEILING DIURETICS,Pyrazolone derivatives
N,N06,N06A,N06AB,NERVOUS SYSTEM,PSYCHOANALEPTICS,ANTIDEPRESSANTS,Selective serotonin reuptake inhibitors
P,P01,P01B,P01BF,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,ANTIMALARIALS,"Artemisinin and derivatives, combinations"
A,A02,A02A,A02AC,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,ANTACIDS,Calcium compounds
P,P01,P01B,P01BC,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,ANTIMALARIALS,Methanolquinolines
P,P02,P02C,P02CB,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTHELMINTICS,ANTINEMATODAL AGENTS,Piperazine and derivatives
B,B02,B02A,B02AA,BLOOD AND BLOOD FORMING ORGANS,ANTIHEMORRHAGICS,ANTIFIBRINOLYTICS,Amino acids
N,N05,N05B,N05BD,NERVOUS SYSTEM,PSYCHOLEPTICS,ANXIOLYTICS,Dibenzo-bicyclo-octadiene derivatives
P,P02,P02B,P02BB,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTHELMINTICS,ANTITREMATODALS,Organophosphorous compounds
V,V03,V03A,V03AF,VARIOUS,ALL OTHER THERAPEUTIC PRODUCTS,ALL OTHER THERAPEUTIC PRODUCTS,Detoxifying agents for antineoplastic treatment
J,J07,J07A,J07AH,ANTIINFECTIVES FOR SYSTEMIC USE,VACCINES,BACTERIAL VACCINES,Meningococcal vaccines
A,A12,A12C,A12CB,ALIMENTARY TRACT AND METABOLISM,MINERAL SUPPLEMENTS,OTHER MINERAL SUPPLEMENTS,Zinc
M,M01,M01A,M01AB,MUSCULO-SKELETAL SYSTEM,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",Acetic acid derivatives and related substances
J,J04,J04A,J04AB,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIMYCOBACTERIALS,DRUGS FOR TREATMENT OF TUBERCULOSIS,Antibiotics
N,N05,N05A,N05AH,NERVOUS SYSTEM,PSYCHOLEPTICS,ANTIPSYCHOTICS,"Diazepines, oxazepines, thiazepines and oxepines"
C,C02,C02L,C02LL,CARDIOVASCULAR SYSTEM,ANTIHYPERTENSIVES,ANTIHYPERTENSIVES AND DIURETICS IN COMBINATION,MAO inhibitors and diuretics
S,S01,S01A,S01AE,SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIINFECTIVES,Fluoroquinolones
V,V08,V08A,V08AB,VARIOUS,CONTRAST MEDIA,"X-RAY CONTRAST MEDIA, IODINATED","Watersoluble, nephrotropic, low osmolar X-ray contrast media"
M,M01,M01A,M01AG,MUSCULO-SKELETAL SYSTEM,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",Fenamates
C,C01,C01D,C01DA,CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,VASODILATORS USED IN CARDIAC DISEASES,Organic nitrates
V,V04,V04C,V04CG,VARIOUS,DIAGNOSTIC AGENTS,OTHER DIAGNOSTIC AGENTS,Tests for gastric secretion
G,G03,G03A,G03AB,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE,"Progestogens and estrogens, sequential preparations"
V,V03,V03A,V03AG,VARIOUS,ALL OTHER THERAPEUTIC PRODUCTS,ALL OTHER THERAPEUTIC PRODUCTS,Drugs for treatment of hypercalcemia
A,A02,A02B,A02BB,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Prostaglandins
H,H04,H04A,H04AA,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",PANCREATIC HORMONES,GLYCOGENOLYTIC HORMONES,Glycogenolytic hormones
A,A02,A02A,A02AA,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,ANTACIDS,Magnesium compounds
B,B03,B03A,B03AA,BLOOD AND BLOOD FORMING ORGANS,ANTIANEMIC PREPARATIONS,IRON PREPARATIONS,"Iron bivalent, oral preparations"
C,C05,C05B,C05BX,CARDIOVASCULAR SYSTEM,VASOPROTECTIVES,ANTIVARICOSE THERAPY,Other sclerosing agents
A,A02,A02A,A02AF,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,ANTACIDS,Antacids with antiflatulents
A,A03,A03A,A03AX,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,Other drugs for functional gastrointestinal disorders
B,B03,B03A,B03AD,BLOOD AND BLOOD FORMING ORGANS,ANTIANEMIC PREPARATIONS,IRON PREPARATIONS,Iron in combination with folic acid
H,H02,H02B,H02BX,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",CORTICOSTEROIDS FOR SYSTEMIC USE,"CORTICOSTEROIDS FOR SYSTEMIC USE, COMBINATIONS","Corticosteroids for systemic use, combinations"
A,A05,A05A,A05AB,ALIMENTARY TRACT AND METABOLISM,BILE AND LIVER THERAPY,BILE THERAPY,Preparations for biliary tract therapy
J,J01,J01C,J01CG,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",Beta-lactamase inhibitors
J,J01,J01D,J01DF,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,OTHER BETA-LACTAM ANTIBACTERIALS,Monobactams
A,A10,A10B,A10BA,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",Biguanides
V,V08,V08A,V08AC,VARIOUS,CONTRAST MEDIA,"X-RAY CONTRAST MEDIA, IODINATED","Watersoluble, hepatotropic X-ray contrast media"
N,N06,N06A,N06AF,NERVOUS SYSTEM,PSYCHOANALEPTICS,ANTIDEPRESSANTS,"Monoamine oxidase inhibitors, non-selective"
P,P02,P02D,P02DX,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTHELMINTICS,ANTICESTODALS,Other anticestodals
C,C02,C02L,C02LB,CARDIOVASCULAR SYSTEM,ANTIHYPERTENSIVES,ANTIHYPERTENSIVES AND DIURETICS IN COMBINATION,Methyldopa and diuretics in combination
C,C04,C04A,C04AC,CARDIOVASCULAR SYSTEM,PERIPHERAL VASODILATORS,PERIPHERAL VASODILATORS,Nicotinic acid and derivatives
A,A07,A07A,A07AX,ALIMENTARY TRACT AND METABOLISM,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",INTESTINAL ANTIINFECTIVES,Other intestinal antiinfectives
P,P01,P01C,P01CD,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST LEISHMANIASIS AND TRYPANOSOMIASIS,Arsenic compounds
J,J04,J04A,J04AC,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIMYCOBACTERIALS,DRUGS FOR TREATMENT OF TUBERCULOSIS,Hydrazides
L,L02,L02B,L02BX,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ENDOCRINE THERAPY,HORMONE ANTAGONISTS AND RELATED AGENTS,Other hormone antagonists and related agents
B,B03,B03X,B03XA,BLOOD AND BLOOD FORMING ORGANS,ANTIANEMIC PREPARATIONS,OTHER ANTIANEMIC PREPARATIONS,Other antianemic preparations
D,D06,D06A,D06AA,DERMATOLOGICALS,ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE,ANTIBIOTICS FOR TOPICAL USE,Tetracycline and derivatives
D,D08,D08A,D08AH,DERMATOLOGICALS,ANTISEPTICS AND DISINFECTANTS,ANTISEPTICS AND DISINFECTANTS,Quinoline derivatives
G,G03,G03X,G03XC,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,OTHER SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,Selective estrogen receptor modulators
C,C09,C09A,C09AA,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ACE INHIBITORS, PLAIN","ACE inhibitors, plain"
M,M03,M03C,M03CA,MUSCULO-SKELETAL SYSTEM,MUSCLE RELAXANTS,"MUSCLE RELAXANTS, DIRECTLY ACTING AGENTS",Dantrolene and derivatives
N,N06,N06A,N06AA,NERVOUS SYSTEM,PSYCHOANALEPTICS,ANTIDEPRESSANTS,Non-selective monoamine reuptake inhibitors
S,S01,S01A,S01AB,SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIINFECTIVES,Sulfonamides
A,A07,A07D,A07DA,ALIMENTARY TRACT AND METABOLISM,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",ANTIPROPULSIVES,Antipropulsives
A,A11,A11A,A11AA,ALIMENTARY TRACT AND METABOLISM,VITAMINS,"MULTIVITAMINS, COMBINATIONS",Multivitamins with minerals
N,N02,N02A,N02AE,NERVOUS SYSTEM,ANALGESICS,OPIOIDS,Oripavine derivatives
C,C07,C07B,C07BB,CARDIOVASCULAR SYSTEM,BETA BLOCKING AGENTS,BETA BLOCKING AGENTS AND THIAZIDES,"Beta blocking agents, selective, and thiazides"
P,P01,P01C,P01CA,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST LEISHMANIASIS AND TRYPANOSOMIASIS,Nitroimidazole derivatives
V,V10,V10B,V10BX,VARIOUS,THERAPEUTIC RADIOPHARMACEUTICALS,PAIN PALLIATION (BONE SEEKING AGENTS),Various pain palliation radiopharmaceuticals
D,D01,D01A,D01AA,DERMATOLOGICALS,ANTIFUNGALS FOR DERMATOLOGICAL USE,ANTIFUNGALS FOR TOPICAL USE,Antibiotics
J,J07,J07A,J07AE,ANTIINFECTIVES FOR SYSTEMIC USE,VACCINES,BACTERIAL VACCINES,Cholera vaccines
M,M02,M02A,M02AB,MUSCULO-SKELETAL SYSTEM,TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN,TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN,Capsaicin and similar agents
L,L01,L01B,L01BA,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,ANTIMETABOLITES,Folic acid analogues
L,L01,L01C,L01CA,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,PLANT ALKALOIDS AND OTHER NATURAL PRODUCTS,Vinca alkaloids and analogues
A,A12,A12C,A12CC,ALIMENTARY TRACT AND METABOLISM,MINERAL SUPPLEMENTS,OTHER MINERAL SUPPLEMENTS,Magnesium
D,D08,D08A,D08AL,DERMATOLOGICALS,ANTISEPTICS AND DISINFECTANTS,ANTISEPTICS AND DISINFECTANTS,Silver compounds
L,L01,L01C,L01CD,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,PLANT ALKALOIDS AND OTHER NATURAL PRODUCTS,Taxanes
D,D07,D07A,D07AD,DERMATOLOGICALS,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS","CORTICOSTEROIDS, PLAIN","Corticosteroids, very potent (group IV)"
P,P01,P01C,P01CB,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST LEISHMANIASIS AND TRYPANOSOMIASIS,Antimony compounds
G,G01,G01A,G01AA,GENITO URINARY SYSTEM AND SEX HORMONES,GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS,"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",Antibiotics
N,N02,N02A,N02AG,NERVOUS SYSTEM,ANALGESICS,OPIOIDS,Opioids in combination with antispasmodics
H,H02,H02A,H02AB,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",CORTICOSTEROIDS FOR SYSTEMIC USE,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",Glucocorticoids
C,C07,C07A,C07AA,CARDIOVASCULAR SYSTEM,BETA BLOCKING AGENTS,BETA BLOCKING AGENTS,"Beta blocking agents, non-selective"
M,M01,M01A,M01AA,MUSCULO-SKELETAL SYSTEM,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",Butylpyrazolidines
N,N02,N02A,N02AJ,NERVOUS SYSTEM,ANALGESICS,OPIOIDS,Opioids in combination with non-opioid analgesics
B,B01,B01A,B01AC,BLOOD AND BLOOD FORMING ORGANS,ANTITHROMBOTIC AGENTS,ANTITHROMBOTIC AGENTS,Platelet aggregation inhibitors excl. heparin
L,L01,L01X,L01XA,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,Platinum compounds
L,L01,L01X,L01XB,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,Methylhydrazines
G,G02,G02C,G02CB,GENITO URINARY SYSTEM AND SEX HORMONES,OTHER GYNECOLOGICALS,OTHER GYNECOLOGICALS,Prolactine inhibitors
J,J07,J07B,J07BD,ANTIINFECTIVES FOR SYSTEMIC USE,VACCINES,VIRAL VACCINES,Measles vaccines
C,C10,C10A,C10AB,CARDIOVASCULAR SYSTEM,LIPID MODIFYING AGENTS,"LIPID MODIFYING AGENTS, PLAIN",Fibrates
D,D10,D10A,D10AX,DERMATOLOGICALS,ANTI-ACNE PREPARATIONS,ANTI-ACNE PREPARATIONS FOR TOPICAL USE,Other anti-acne preparations for topical use
M,M04,M04A,M04AB,MUSCULO-SKELETAL SYSTEM,ANTIGOUT PREPARATIONS,ANTIGOUT PREPARATIONS,Preparations increasing uric acid excretion
S,S01,S01H,S01HA,SENSORY ORGANS,OPHTHALMOLOGICALS,LOCAL ANESTHETICS,Local anesthetics
D,D07,D07X,D07XA,DERMATOLOGICALS,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS","CORTICOSTEROIDS, OTHER COMBINATIONS","Corticosteroids, weak, other combinations"
N,N02,N02C,N02CA,NERVOUS SYSTEM,ANALGESICS,ANTIMIGRAINE PREPARATIONS,Ergot alkaloids
R,R06,R06A,R06AA,RESPIRATORY SYSTEM,ANTIHISTAMINES FOR SYSTEMIC USE,ANTIHISTAMINES FOR SYSTEMIC USE,Aminoalkyl ethers
L,L04,L04A,L04AX,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,IMMUNOSUPPRESSANTS,IMMUNOSUPPRESSANTS,Other immunosuppressants
N,N06,N06B,N06BX,NERVOUS SYSTEM,PSYCHOANALEPTICS,"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",Other psychostimulants and nootropics
J,J02,J02A,J02AA,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIMYCOTICS FOR SYSTEMIC USE,ANTIMYCOTICS FOR SYSTEMIC USE,Antibiotics
J,J07,J07A,J07AN,ANTIINFECTIVES FOR SYSTEMIC USE,VACCINES,BACTERIAL VACCINES,Tuberculosis vaccines
J,J05,J05A,J05AR,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIVIRALS FOR SYSTEMIC USE,DIRECT ACTING ANTIVIRALS,"Antivirals for treatment of HIV infections, combinations"
N,N05,N05A,N05AA,NERVOUS SYSTEM,PSYCHOLEPTICS,ANTIPSYCHOTICS,Phenothiazines with aliphatic side-chain
H,H05,H05A,H05AA,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",CALCIUM HOMEOSTASIS,PARATHYROID HORMONES AND ANALOGUES,Parathyroid hormones and analogues
A,A02,A02B,A02BD,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Combinations for eradication of Helicobacter pylori
R,R01,R01A,R01AD,RESPIRATORY SYSTEM,NASAL PREPARATIONS,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,Corticosteroids
C,C09,C09B,C09BX,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ACE INHIBITORS, COMBINATIONS","ACE inhibitors, other combinations"
N,N07,N07B,N07BC,NERVOUS SYSTEM,OTHER NERVOUS SYSTEM DRUGS,DRUGS USED IN ADDICTIVE DISORDERS,Drugs used in opioid dependence
H,H01,H01B,H01BA,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,POSTERIOR PITUITARY LOBE HORMONES,Vasopressin and analogues
V,V10,V10X,V10XX,VARIOUS,THERAPEUTIC RADIOPHARMACEUTICALS,OTHER THERAPEUTIC RADIOPHARMACEUTICALS,Various therapeutic radiopharmaceuticals
H,H02,H02C,H02CA,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",CORTICOSTEROIDS FOR SYSTEMIC USE,ANTIADRENAL PREPARATIONS,Anticorticosteroids
A,A07,A07F,A07FA,ALIMENTARY TRACT AND METABOLISM,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",ANTIDIARRHEAL MICROORGANISMS,Antidiarrheal microorganisms
R,R07,R07A,R07AX,RESPIRATORY SYSTEM,OTHER RESPIRATORY SYSTEM PRODUCTS,OTHER RESPIRATORY SYSTEM PRODUCTS,Other respiratory system products
C,C03,C03B,C03BC,CARDIOVASCULAR SYSTEM,DIURETICS,"LOW-CEILING DIURETICS, EXCL. THIAZIDES",Mercurial diuretics
C,C08,C08G,C08GA,CARDIOVASCULAR SYSTEM,CALCIUM CHANNEL BLOCKERS,CALCIUM CHANNEL BLOCKERS AND DIURETICS,Calcium channel blockers and diuretics
J,J04,J04A,J04AK,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIMYCOBACTERIALS,DRUGS FOR TREATMENT OF TUBERCULOSIS,Other drugs for treatment of tuberculosis
V,V08,V08B,V08BA,VARIOUS,CONTRAST MEDIA,"X-RAY CONTRAST MEDIA, NON-IODINATED",Barium sulfate containing X-ray contrast media
S,S01,S01B,S01BA,SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIINFLAMMATORY AGENTS,"Corticosteroids, plain"
C,C09,C09D,C09DX,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ANGIOTENSIN II ANTAGONISTS, COMBINATIONS","Angiotensin II antagonists, other combinations"
C,C02,C02A,C02AB,CARDIOVASCULAR SYSTEM,ANTIHYPERTENSIVES,"ANTIADRENERGIC AGENTS, CENTRALLY ACTING",Methyldopa
D,D08,D08A,D08AF,DERMATOLOGICALS,ANTISEPTICS AND DISINFECTANTS,ANTISEPTICS AND DISINFECTANTS,Nitrofuran derivatives
N,N05,N05C,N05CD,NERVOUS SYSTEM,PSYCHOLEPTICS,HYPNOTICS AND SEDATIVES,Benzodiazepine derivatives
J,J02,J02A,J02AX,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIMYCOTICS FOR SYSTEMIC USE,ANTIMYCOTICS FOR SYSTEMIC USE,Other antimycotics for systemic use
N,N02,N02B,N02BE,NERVOUS SYSTEM,ANALGESICS,OTHER ANALGESICS AND ANTIPYRETICS,Anilides
D,D11,D11A,D11AX,DERMATOLOGICALS,OTHER DERMATOLOGICAL PREPARATIONS,OTHER DERMATOLOGICAL PREPARATIONS,Other dermatologicals
V,V10,V10A,V10AX,VARIOUS,THERAPEUTIC RADIOPHARMACEUTICALS,ANTIINFLAMMATORY AGENTS,Other antiinflammatory therapeutic radiopharmaceuticals
C,C05,C05C,C05CX,CARDIOVASCULAR SYSTEM,VASOPROTECTIVES,CAPILLARY STABILIZING AGENTS,Other capillary stabilizing agents
N,N05,N05B,N05BX,NERVOUS SYSTEM,PSYCHOLEPTICS,ANXIOLYTICS,Other anxiolytics
D,D05,D05A,D05AX,DERMATOLOGICALS,ANTIPSORIATICS,ANTIPSORIATICS FOR TOPICAL USE,Other antipsoriatics for topical use
S,S03,S03A,S03AA,SENSORY ORGANS,OPHTHALMOLOGICAL AND OTOLOGICAL PREPARATIONS,ANTIINFECTIVES,Antiinfectives
C,C02,C02D,C02DG,CARDIOVASCULAR SYSTEM,ANTIHYPERTENSIVES,"ARTERIOLAR SMOOTH MUSCLE, AGENTS ACTING ON",Guanidine derivatives
D,D01,D01A,D01AC,DERMATOLOGICALS,ANTIFUNGALS FOR DERMATOLOGICAL USE,ANTIFUNGALS FOR TOPICAL USE,Imidazole and triazole derivatives
V,V04,V04C,V04CA,VARIOUS,DIAGNOSTIC AGENTS,OTHER DIAGNOSTIC AGENTS,Tests for diabetes
B,B06,B06A,B06AC,BLOOD AND BLOOD FORMING ORGANS,OTHER HEMATOLOGICAL AGENTS,OTHER HEMATOLOGICAL AGENTS,Drugs used in hereditary angioedema
N,N05,N05C,N05CB,NERVOUS SYSTEM,PSYCHOLEPTICS,HYPNOTICS AND SEDATIVES,"Barbiturates, combinations"
B,B05,B05B,B05BC,BLOOD AND BLOOD FORMING ORGANS,BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS,I.V. SOLUTIONS,Solutions producing osmotic diuresis
D,D08,D08A,D08AK,DERMATOLOGICALS,ANTISEPTICS AND DISINFECTANTS,ANTISEPTICS AND DISINFECTANTS,Mercurial products
N,N05,N05B,N05BA,NERVOUS SYSTEM,PSYCHOLEPTICS,ANXIOLYTICS,Benzodiazepine derivatives
V,V09,V09G,V09GA,VARIOUS,DIAGNOSTIC RADIOPHARMACEUTICALS,CARDIOVASCULAR SYSTEM,Technetium (99mTc) compounds
A,A07,A07A,A07AC,ALIMENTARY TRACT AND METABOLISM,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",INTESTINAL ANTIINFECTIVES,Imidazole derivatives
V,V09,V09D,V09DA,VARIOUS,DIAGNOSTIC RADIOPHARMACEUTICALS,HEPATIC AND RETICULO ENDOTHELIAL SYSTEM,Technetium (99mTc) compounds
B,B02,B02B,B02BB,BLOOD AND BLOOD FORMING ORGANS,ANTIHEMORRHAGICS,VITAMIN K AND OTHER HEMOSTATICS,Fibrinogen
C,C01,C01E,C01EB,CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,OTHER CARDIAC PREPARATIONS,Other cardiac preparations
B,B01,B01A,B01AA,BLOOD AND BLOOD FORMING ORGANS,ANTITHROMBOTIC AGENTS,ANTITHROMBOTIC AGENTS,Vitamin K antagonists
N,N02,N02B,N02BB,NERVOUS SYSTEM,ANALGESICS,OTHER ANALGESICS AND ANTIPYRETICS,Pyrazolones
D,D07,D07C,D07CD,DERMATOLOGICALS,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS","CORTICOSTEROIDS, COMBINATIONS WITH ANTIBIOTICS","Corticosteroids, very potent, combinations with antibiotics"
